inputs,outputs
"give me directions to a coffee place navigating to cafe venetia. please pick the fastest route and bring me there, thank you! i only have one listed and it's got Cafe_Venetia_traffic_info. do you still want to go there? i guess, what is the address? cafe venetia is located at Cafe_Venetia_addressive.  pick the fastest route for me car, thank you!",setting your gps for the fastest route to cafe venetia  now.
where is the nearby hospital?,stanford childrens health is the only hospital.
this weekend will there be any drizzle in los angeles?,"yes, in los angeles there will be drizzle on los_angeles_sunday"
i need the quickest route to a rest stop. i am so tired.,the westin is at The_Westin_address which is only a mile away.
i need the route with the shortest distance to a parking garage in the area webster garage is located at 880 ames ct. it is Webster_Garage_distance away.  can you provide me with the shortest distance to reach there?,unfortunately there is a Webster_Garage_traffic_info but i already sent on your screen another route to reach the garage fast enough
please add my optometrist appointment to my schedule for august 3rd.,"okay great, what time would you like to set it for?"
does the local forecasts say it'll be cloudy,what city do you want the weather for?
will it be windy in corona on corona_wednesday? corona's forecast does not predict wind on corona_wednesday thanks a bunch,anytime.
remind me what's planned for the meeting today,you have 2 meeting scheduled today to meeting_agenda
i need directions to my house and avoid all heavy traffic,home is listed at 5671 barringer street and home_traffic_info is noted.
i need the fastest route to the hospital.,nearest hospital is located at Palo_Alto_Medical_Foundation_address. called palo alto medical foundation.
show me the route to coffee shop,there is 2 coffee shops locally; one is philz that's 2 miles away and starbucks that is Starbucks_distance away. which do you prefer?
what's the forecast for today what city do you want the weather for? please find out if it will be windy in seattle today. it will not be windy in seattle today. thank you.,anytime.
remind me at 4pm next wednesday about my conference with the sales team.,setting reminder for conference at 4 pm on next wednesday with the sales team.
"where does my friend live? you have two friends listed; jill and tom, which one? the one closest to my location. jill's house is 5 miles away but there is a road block nearby. tom's house is 8 miles away but we should pass through the same road block well jill is closer so let's go there.  sure, i sent the route on your map thank you car!",anytime!
where can i get coffee,"the teavana is Teavana_distance away, and there is currently no traffic. would you like directions there?"
when is my next conference,your next conference is on conference_date at 1 pm.
where does my friend live?,if you're talking about jack he lives 5 miles away while tom is 6 miles away. who do you want to go visit?
get me the weather report for this week,for what city would you like this week's weather report?
what's the weather like what city do you want the weather for? i need it for seattle.,it is currently overcast with a low of 70f and a high of 90f.
"please give me the address and directions to a gas station near my current location, avoiding all heavy traffic.","the nearest gas station is chevron that's located Chevron_distance away at 783 arcadia pl. in this moment there is moderate traffic on our way, i sent all the details on your screen"
what day is my dentist appointment,"your dentist appointment is on dentist_appointment_date, at 11 am."
"directions to the parking garage the closest parking garage is dish parking, would you like directions? yes, please give me the quickest route.",i'm sorry. i have searched and found another parking garage that is only Webster_Garage_distance away because both have heavy traffic. would you like that address instead?
what is the local weather forecast for this week,for what city would you like the weekly forecast for?
are there any chinese restaurants here?,there is jing jing and pf changs.
please tell me what time my yoga activity is and who will be attending.   your upcoming yoga activity is at 4pm with yoga_activity_party.  thank you.,you're welcome
"what's the seven day forecast for new york city the forecast for new york predicts a week with drizzles, overcast  and clear skies with dry and humid temperatures. can you give me the average temperature in fahrenheit?  in new york it will be between 30-50f on monday, 30-40f on tuesday, 80-90f on wednesday, 30-50f on thursday, 90-100f on friday, 20-40f on saurday, and 20-40f on new_york_sunday. thank you","glad i can assist, goodbye."
is it going to be hot in grand rapids on grand_rapids_thursday? it will not be hot in grand rapids on grand_rapids_thursday. thanks.,you are welcome.
schedule a optometrist appointment for thursday at 5pm. my father is joining me.,your optometrist appointment with your father has been scheduled for thursday at 5pm.
where can i get chinese food? we're P.F._Changs_distance away from p.f. changs: would you like me to highlight its position on your map? is there any other places within 4 miles? p.f. changs is the only listing i have. what is the address?,the address is P.F._Changs_address
how many hotels are around here i see 2 nearby hotels including four seasons and the clement hotel.  give me the info for the one that has the quickest route. the quickest route is for the four seasons hotel which is Four_Seasons_distance away with heavy traffic. the address is 465 arcadia pl. thank you.,you're welcome!
remind me that i have a meeting at work on the 12th at 5 pm in conference room 100 reminder for event work meeting set. thanks,no problem.
what day and time is my dentist appointment?,your dentist appointment is set for dentist_appointment_date at 11 am.
where is a nearby parking garage? we're Dish_Parking_distance away from dish parking how is the traffic? there is Dish_Parking_traffic_info near dish parking. ok that works. set the navigation for there.,"navigation set, have a great day."
schedule a conference with the sales team on the 6th at 9am. i have scheduled a conference with the sales team on the 6th at 9am. thank you for your help.,anytime.
"how do i get to the nearest restaurant the closest restaurant is panda express, would you like directions? sure, thanks, pick a quick route too please",panda express is 1 mile away at 842 arrowhead way and there is Panda_Express_traffic_info.
set a reminder for dinner at 10am on the 22nd with my aunt.,scheduling a dinner reminder on the 22nd at 10 am with your aunt
will it be cloudy what city would you like weather information about? san francisco please. the only day forecasted to be cloudy in san francisco next week is san_francisco_thursday. thanks!,no problem.
"show me the closest location where i can get chinese food the closest chinese restaurant is pf changs, located P.F._Changs_distance away.  ok, please give me an address and directions via a route that avoids all heavy traffic.  p.f. changs route set to 669 el camino real with only P.F._Changs_traffic_info noted.  thank you","you're welcome. drive safely, and enjoy."
is it foggy in exeter today,it is not foggy in exeter today.
"take me to a chinese restaurant there is a chef chu's Chef_Chu's_distance away and jing jing 6 miles away, which do you prefer? how's the traffic to them? there is a car collision before reaching both places, but i might find another route if you tell me which one you prefer i just want the one that has the fastest route chef chu's is Chef_Chu's_distance away at 593 arrowhead way. setting navigation now.  thank you car assistant",you are welcome driver!
i need to know if brentwood is going to be overcast on brentwood_monday please.,the forecast calls for fog on brentwood_monday in brentwood.
"will there be rain in durham this upcoming week? there isn't any rain predicted in durham this week, but is should be stormy on durham_thursday thank you car!",you're welcome!
is it humid in compton now?,it is not humid in compton now.
is there going to be hail in los angeles this weekend? on los_angeles_sunday hail is predicted to fall in san mateo thanks. there is a chanel of hail on los_angeles_sunday in los angeles. thanks.,you're welcome.
"car, schedule a conference at 1pm today with the infrastructure team.","okay, scheduling a conference with the infrastructure team for today at 1pm."
"find me a tea house we're Starbucks_distance away from starbucks: do you want me to highlight its position on the map? yes, give me the address.","the address is 792 bedoin street, i sent it on your map. there is Starbucks_traffic_info and you should be able to reach there in few minutes"
where is the nearest rest stop?,"the nearest one is the four seasons, it's Four_Seasons_distance away. but if you prefer there is also the travelers lodge that's 6 miles away"
what is the chance of rain next week what city are you wanting to know if it's going to rain? durham,durham is scheduled for rain on durham_monday with a temperature between 90-100f.
i need a route to the hospital with no traffic.  although there isn't any traffic there is a car collision nearby stanford express care hospital. it is currently Stanford_Express_Care_distance away please send its position on my screen. thank you car!,stanford express care is at Stanford_Express_Care_address.
"get me directions to the nearest shopping mall we're Stanford_Shopping_Center_distance away from stanford shopping center but there is a road block nearby i wish we could avoid the traffic but i guess this will do. what's the address? the address is Stanford_Shopping_Center_address, i sent on your screen the route to reach there ok, thank you.",you're welcome; drive safely.
"where's the nearest shopping mall the nearest shopping center is the ravenswood shopping center, which is about Ravenswood_Shopping_Center_distance away. did you want to go there? yes please.",setting gps to 434 arastradero road.
can you find out the date and parties attending for my tennis activity?,your brother will be attending your tennis activity on tennis_activity_date.
find me the fastest route home and the address,"the address is 5671 barringer street, home_distance away. there is a road block nearby. setting navigation now."
schedule a swimming activity with marie for friday at 1pm. reminder for swimming with marie on friday at 1pm is set.  thank you.,no problem
get directions to the nearest parking garage the nearest parking garage is 1 mile away at civic center garage. it's located at Civic_Center_Garage_address. how's the traffic there?,Civic_Center_Garage_traffic_info is on the route to civic center garage but is still the best option.
"directions to the grocery store navigating you to safeway. make sure to give me the fastest route please.  there is Safeway_traffic_info on our way and you should be able to reach in just few minutes ok, what is the address and how close is it? safeway is Safeway_distance away at 452 arcadia pl. do you need me to set gps? yes, please, and thank you!","i set the gps for you, drive carefully!"
"find some places downtown where i can park the webster garage is nearby. please pick the fastest route and send me the address on screen navigating now to 880 ames ct, there is Webster_Garage_traffic_info on our way and you should be able to reach in few minutes thank you, car.",you're welcome.
"what is the date and time for my doctor appointment? you have three doctor appointments scheduled. one on the 4th at 6pm, another on the 5th at 5pm, and the last one doctor_appointment_date at 1pm. thank you.",you're welcome.
where is a nearby parking garage? we're Dish_Parking_distance away from dish parking how is the traffic?,there is Dish_Parking_traffic_info near dish parking.
"schedule an appointment at 7pm today with jeff the optometrist, please okay, i am scheduling an optometrist appointment with jeff for today at 7pm. thanks.",you're welcome.
i need to schedule tennis with jon.  when shall i set the reminder for tennis with jon? on the 15th at 1 pm,"okay great, i have that scheduled for you on the 15th with jon."
"what will the temperature be this weekend what city are you inquiring about? downtown chicago please. find out the temperature for this week car. this week the temperature in downtown chicago will be monday: 30f, high of 40f, tuesday: low of 80f, high of 90f, wednesday: low of 20f, high of 30f, thursday: low of 20f, high of 40f, friday: low of 20f, high of 30f, saturday: low of 90f, high of 100f, downtown_chicago_sunday: low of 20f, high of 30f thank  you!",my pleasure.
"give me the address of the nearest shopping center to me, with the fastest route to it",stanford shopping center is Stanford_Shopping_Center_distance away at 773 alger dr.
is it going to rain in the next few days tell me when what city should i check to see if it'll be raining during the week? tell me if it will rain in seattle over the next few days,"there isn't any rain predicted in seattle over the next few days, although it may drizzle on seattle_thursday."
please give me the address and directions to my friend's house by the fastest possible route without heavy traffic.,"okay, you are 5 miles away from tom's house located at 580 van ness ave. the drive should not have any traffic"
tell me what the temperature will be like for the next week for what city? grand rapids in grand rapids the temperature is predicting lows in the 20f and highs in the 90f. thanks.,not a problem.
"what is the weather today in tomorrow what city do you want the forecast for? please tell me the weather report for menlo park today. in menlo park today is going to be foggy, low of 60f, high of 70f and tomorrow is going to be menlo_park_tuesday.   perfect, thanks.",you are very welcome.
"what parties and am i attending and what are the dates you do not have any parties on your schedule at this time. what tennis activities are on my schedule, what are the dates, and who are they with? you have two tennis activities on your schedule, one on monday with your mother, and one on tuesday with your sister. thank you.",you are welcome.
where can i get pizza? i have two listing for pizza. which one would you like info on? which is closer?,pizza chicago is the closest at Pizza_Chicago_distance with no traffic at 550 alester avenue.
"car i need a quick route to a hospital in the area stanford express care is located at 214 el camino real, Stanford_Express_Care_distance away. would you like directions there? yes, please, send its address on my map and pick a quick route for me!",unfortunately there is a Stanford_Express_Care_traffic_info but i sent on your screen another route to reach the hospital in the shortest time
what's the quickest route to a pizza restaurant?,"there are currently 2 that are Pizza_Hut_distance from your location, papa johns and pizza hut."
"what is the temperature for the next 7 days weather forecast what city shall i find the weather forecast for? brentwood please this week in brentwood the temperature lows will be in the 20s and 50s with highs reaching 100f okay, thank you",you're very welcome!
"i need to find the shortest route to the hospital. sorry it appears the nearest hospital is Palo_Alto_Medical_Foundation_distance away. palo alto medical foundation is located at 611 ames ave with heavy traffic noted.  can you send me the directions? palo alto medical foundation is located at Palo_Alto_Medical_Foundation_address thank you car, please pick the route with the shortest distance to reach there!",i sent the route on your map. you're welcome!
is it going to be raining this weekend,what city would you like me to check to see if it's raining this weekend?
will it be frost during the weekend in boston?,there will not be frost during the weekend in boston.
what are some nearby restaurants,"there are two chinese restaurants nearby, mandarin roots Mandarin_Roots_distance away and p.f. changs 6 miles away"
"bring me to the nearest starbucks starbucks is 1 mile away at Starbucks_address.  how is the traffic? this route has Starbucks_traffic_info okay, thank you","you're welcome; drive safely, and enjoy."
can you check the time and date of my dinner?,your dinner is on dinner_date at 6pm.
over the next few days in camarillo will there be any rain? it shouldn't be raining in camarillo for the whole week thank you very much car!,glad i could help out
"i need to schedule a conference.  what day and time is your conference? this week, on tuesday at 4 pm.  okay setting a reminder for a tuesday at 4 pm for conference, is there anything else i should add? the conference is with the executive team. okay, setting a reminder for your conference with the executive team on tuesday at 4 pm. thanks",you are welcome
"what's the weather like in downtown chicago the forecast is rain with the highs in the 50s and lows in the 40s.  i need to know if there will be a drizzle in downtown chicago car, for this downtown_chicago_friday.  on downtown_chicago_friday in downtown chicago it will be hot, there is no prediction of drizzle sounds good.",not a problem.
what will the weather be like in the city what city do you want the weather for? the 7 day for fresno please.,"in fresno, it will be misty monday foggy tuesday, humid wednesday, drizzle thursday, clear friday, hail saturday and be windy fresno_sunday."
"when is my swimming activity and who is attending? you have a swimming activity scheduled for swimming_activity_date, monday, thursday, and on the 8th, which one would you like the information about? the activity on swimming_activity_date.",your swimming activity on swimming_activity_date is at 11am with jon.
will there be drizzle in oakland tomorrow?,there should not be any drizzle in oakland tomorrow.
"i need you to schedule a reminder to take my medicine at 7 pm. mark it on the 1st, with ana. please.  okay, setting a reminder to take medicine on the 1st at 7pm with ana. thanks for the assistance.","it is my pleasure, goodbye."
is there snow in the forecast for the week what city do you want the forecast for? brentwood it's not gonna snow in brentwood this week thank you car!,anytime!
tell me when my dentist appointment is,your dentist appointment is this dentist_appointment_date at 7pm.
is it supposed to rain this week,what city are you inquiring about?
who is attending the swimming event and when is it?,the swimming event is on sunday at 2pm with your brother.
what is the weather like this week,you would like to know what the weather is like for what city?
"schedule a reminder for my tennis activity at 6pm, the tenth with father.","ok, reminder for tennis with your father on the tenth at 6pm is set."
"is it going to snow in the next week what city can i check for you? danville, please in danville, it will snow on danville_wednesday. thanks!",you're welcome.
schedule a 6 pm meeting with my boss to go over the quarterly report on tuesday.,"okay, scheduling a meeting for 6 pm on tuesday with your boss to go over the quarterly report."
set a reminder for yoga activity at 5 pm on thursday with mother.,setting reminder for yoga activity at 5 pm thursday with mother.
car i need a parking garage in the area around me: please send the fastest route on my screen,we're Civic_Center_Garage_distance away from civic center garage and there is moderate traffic on our way: do you want me to send you the info on your screen?
car i need to reach my friends house in this local area: pick the route with the shortest distance too please taking you to tom's house on the fastest route. what is the address?,tom's address is 580 van ness ave.
navigate to my friend's home please navigating to tom's house. give me the address.,tom's home address is 580 van ness ave.
"what is the weather going to be today and tomorrow what city would you like the weather for? compton, please! it will be between 70-90f on monday and 90-100f on compton_tuesday in compton. thank you.",you're welcome.
doctor's appointment at 10 am on monday august 8th setting a reminder on august 8th for your doctor's appointment at 10 am. thank you,you are welcome.
"check the weather for today where are you located? i am in san mateo. today in san mateo is gonna be drizzle, with low temperature of 20f, and high of 40f thank you!",glad i could help out
is there any rain in the current weather forecast in inglewood? today it's gonna fall hail in inglewood thank you!,you're welcome!
"take me to a chinese restaurant there is a panda express 1 mile away. would you like the address to it? yes please give me the details of this location panda express is located at Panda_Express_address, 1 mile away.  please give me the fastest route.",there is Panda_Express_traffic_info now but you should be able to get there in a few minutes
how is the climate on danville_friday what city do you want the weather for? weather for danville it will be the highest temperature on danville_friday in danville. thanks.,you are welcome.
please show me the weekly weather report,what city do you want the weather for?
"search for nearest fast food restaurants there is two restaurants near you; one serves pizza and the other chinese, which do you prefer? the pizza place, give me the quickest one that is nearby. then let's go at round table, 113 anton ct ,it's just Round_Table_distance away but there is heavy traffic, i hope you're not too hungry please give me directions to the pizza place please. thank you.",navigating to Round_Table_address now.
add meeting in conference room 102 the calendar,your meeting in conference room 102 is scheduled.
what's the weather like on my drive today,what city will you be driving in?
quickest route to my friends house.,your friend jack lives at 864 alamanor lane but there is heavy traffic. would you like directions?
"check forecast for new york the weather this week will be hail and rain on thursday and new_york_sunday, with the lowest temperature being 20f and the highest 90f, monday will be the only hot day.  will it be overcast on new_york_friday?",on new_york_friday it will be cloudy on new york
find me the closest parking garage. the closest parking garage is dish parking and it is Dish_Parking_distance away. what is the address?,dish parking's address is Dish_Parking_addressnue. do you want me to set the gps?
"schedule swimming tomorrow at 2 with my brother scheduling a swimming activity at 2 pm with your brother, what day should i add this? it is tomorrow great, i have that swimming activity all scheduled for you! can i help with anything else? that is all, thanks.",will that be 2 pm or 2 am?
will it rain anytime in the next week what city do you want the weather for? will it rain in san mateo next week?,it will rain on both saturday and san_mateo_sunday in san mateo.
i need to schedule a doctor's appointment,what day and time is the doctor's appointment?
which one will be the lowest temperature in danville during the next week? the lowest temperature this week in danville will be on danville_monday with a low of 20f thanks,anytime.
will it be cloudy this week,what city are you in?
please give me the address and directions to a coffee shop via the quickest route.,"peets coffee is located at Peets_Coffee_address, 1 mile away in heavy traffic. setting directions now."
please tell me the weather for today and what the weather will be tomorrow,what city are you in?
"show me the nearest shopping mall we are Stanford_Shopping_Center_distance away from stanford shopping center: does it sound good to you? give me the address. the address is Stanford_Shopping_Center_address, i sent it on your screen set gps for a route without any traffic.",there is Stanford_Shopping_Center_traffic_info but you should be able to reach it fast anyway
find a coffee shop near my location. palo alto cafe	is Palo_Alto_Cafe_distance away. what is the address?,palo alto cafe is Palo_Alto_Cafe_distance away at 436 alger dr. but a car collision is being reported nearby. do you still want to go?
i need a reminder for taking my medicine on august 14th at 7 pm with brother.  scheduled taking medicine at 7 pm on august 14th with brother.  thanks so much.,my pleasure.
is there a starbucks here?,yes it is Starbucks_distance away.
when is my lab appointment?,your lab appointment is on lab_appointment_date at 7 pm.
is it going to be humid in danville on danville_saturday? it will not be humid in danville on danville_saturday.  thank you.,anytime
what time is my doctor appointment,your doctors appointment is at 10am on doctor_appointment_date.
next doctor's appointment,are you asking the date of the next doctor's appointment?
"is it raining next week in what city should i gather the forecast for? exeter please, find out if there is going to be rain next week.","there is no rain this week in exeter, only slight drizzles on tuesday and exeter_wednesday."
"car i'd like to eat in a pizza restaurant: which one is the nearest? the closest pizza restaurant is round table that is Round_Table_distance away in heavy traffic send me the address. the address is Round_Table_address, would you like me to set the gps to go there? yes please. thank you.",no problem.
"how cloudy is it going to be for the next week what city can i tell you about next week's cloudiness? please tell me about manhattan for next week. manhattan's forecast for next week calls for snow and fog with rain so the probability of clouds is high.  great, thank you.","my pleasure, have a good day."
"car is there any shopping center nearby? please show me a quick route to reach too! there is town and country Town_and_Country_distance away, and there should be no traffic on our way what is the address?",town and country is at Town_and_Country_address.
what is the lowest temperature in oakland right now? the low temperature right now in oakland is 90f thank you.,you are very welcome
i need to know if it will be cloudy in san jose over the next seven days,it will be cloudy on san_jose_saturday in san jose.
what is the weather forecast for the weekend,what city do you want the weather for?
what time is yoga class your yoga class is at 1 pm thank you.,no problem
what time is the group meeting,you have a group meeting on meeting_date at 10:00 am in room 102 with the executive team to discuss the company picnic.
"i need a place that serves coffee locally. there is a philz Philz_distance away. it sounds good, please pick a quick route and send it on the screen, thank you!","i sent the best possible route on your screen, you're welcome!"
"navigate me to the nearest hotel we're The_Westin_distance away from the westin and there is also a car collision nearby, it's not going to be fast any other options? the westin at The_Westin_address is the only option i have available ok, please give me directions via the shortest distance.",setting navigation to the westin now.
tell me the weather for this week,what city do you want to know about?
is it going to snow today,where are you wanting to know if it's going to snow? what city?
"please find me directions to a nearby place i can get some coffee here are directions to palo alto cafe. yes thanks and make sure to get me the quickest route please. there is Palo_Alto_Cafe_traffic_info on the quickest route to palo alto cafe.  would you like the address? yes please.  the address is 436 alger dr, and it is Palo_Alto_Cafe_distance away. thank you. can you set gps to navigate us there? gps is set for palo alto cafe at 436 alger dr which is Palo_Alto_Cafe_distance away with no traffic. thank you, car.",you're welcome.
"what's the weather today in what city? the temperature in exeter. it is between 60-70f today in exeter. okay, thanks!",anytime
car i'm desiring to have pizza: is there any restaurant within 2 miles? i have a pizza restaurant located 1 mile away. what is the address?,dominos is at Dominos_address.
"when is yoga and who is attending? you have three yoga activities scheduled; one on the 2nd at 9 am with your brother, another on the 4th at 4 pm with tom, and the last one on the 11th at 1 pm with jon.  thanks for the info.",you're welcome.
what is the weather like in boston,what would you like to know about boston's weather?
what grocery stores are here?,there is a safeway Safeway_distance away.
is it going to rain in the next few days tell me when what city are you asking about? san francisco.,it's gonna rain today in san francisco
search for nearby cafe there is cafe venetia Cafe_Venetia_distance away and a couple of other farther options which is the best one with the quickest route?,the would be cafe venetia.
"check out my appointment check appointment for doctor, optometrist or dentist?  doctor appointment, i need to find out the agenda.  you have no agenda set, would you like to set one right now? no, that's fine. thanks",you're welcome
"what are the directions to the mall there is town and country Town_and_Country_distance away: would you like to go there? yes, please. navigating to town and country. give me the address.",town and country is located at Town_and_Country_addressnue.
car i'm desiring some tea,we're Coupa_distance away from coupa and there is also teavana 4 miles away: which one do you prefer?
what time is the meeting,the meeting is at meeting_time.
get me the weather forecast for the next 7 days for what city would you like the weather forecast for the next 7 days? i need the 7 day forecast for danville.,"in danville is gonna be overcast on monday, hail on tuesday, overcast again on wednesday, foggy on thrusday, misty on friday, stormy on saturday, snow on danville_sunday"
set a reminder for doctors appointment on august 14th at 4pm with my sister,reminder for doctors appointment on august 14th at 4pm with your sister is set
what is the date of my optometrist appointment and who will be attending it?,you have two optometrist appointments scheduled. one on tuesday with alex and the other in optometrist_appointment_date with jon. would you like to know the times as well?
"where can i go shopping? stanford shopping center is 1 mile away. that's good, please send me a quick route on my screen stanford shopping center is at Stanford_Shopping_Center_address. thanks so much.",you are welsome
"find me somewhere to park the palo alto garage r is Palo_Alto_Garage_R_distance away. could you please send me its address and pick the quickest route for me? the garage is located at Palo_Alto_Garage_R_address, navigating you now. perfect.",drive carefully!
take me to the closest mall stanford shopping center is the closest mall at Stanford_Shopping_Center_distance away located at 773 alger drive.  thank you,you are welcome.
"where is a hospital within Palo_Alto_Medical_Foundation_distance? palo alto medical foundation	is Palo_Alto_Medical_Foundation_distance away. what is the address? palo alto medical foundation is at Palo_Alto_Medical_Foundation_address. do you want me to set the gps? yes, please, and pick the shortest distance too, thank you! setting gps now. there is Palo_Alto_Medical_Foundation_traffic_info on the route to the hospital. thank you.",have a safe day.
find me a place i can go to sit and drink coffee or tea,there are two nearby coffee or tea places.  would you like the nearest one?
what is the forecast for this week,you would like to know the weekly forecast for what city?
"is it gonna be misty in san francisco on san_francisco_tuesday? it will not be misty on san_francisco_tuesday, in san francisco the weather is predicted to be dry. thanks.",anytime.
set a meeting in the conference room 100,okay setting a meeting in the conference room 100. what is the date & time?
i'm desiring to eat at some chinese restaurant: is there any in the area?,there are mandarin roots Mandarin_Roots_distance away and jing jing 6 miles away: which one would you like to try?
what's the weather like what city would you like to find out the weather about? i need to know weather information about atherton. what days are you interested in? find out if there will be a blizzard on atherton_tuesday on atherton_tuesday there will be clear skies thank you,you're welcome!
is it snowing next week what city would you like to know if it will be snowing in? compton.,it will not snow in compton next week.
what's the current temperature outside for what city would you like the current weather for? i'm located in exeter. the temperature in exeter is showing a low of 60f with a high of 80f. thanks.,you are very welcome
"check forecast for new york the weather forecast in new york is windy, the low is 40f and the high is 60f. thank you. i would like to know if there will be frost in new york anytime over the next 7 days? frost is predicted in new york on new_york_saturday. great, thank you",anytime
will it snow this week,what city are you located in so i could check to see if it will be snowing this week?
will it rain anytime in the next week,what city do you want the weather for?
what is the date and time of my next lab appointment.,your next lab appointment is on lab_appointment_date at 10am.
i need to schedule tennis with jon.,when shall i set the reminder for tennis with jon?
schedule a meeting on december 10th at 2pm with the infrastructure team to discuss the merger.,i will make a note of the meeting for december 10th at 2pm with the infrastructure team to discuss the merger.
what is the weather today and tomorrow what city shall i give you today and tomorrow's forecast for? will it be warm in durham today? it will be humid with a high of 70f in durham today. thank you.,you are welcome.
will it be warm in camarillo over the next 2 days?,"no, it's not gonna be warm in camarillo over the next 2 days"
what is the current temperature,where would you like to know the temperature?
"get me the address to a shopping mall near me. the nearest shopping center to you is town and country, it is 5  miles away  what is the address? town and country is at Town_and_Country_address. anything else? just pick the quickest route and let's go there, thank you!","i picked the quickest route for you, follow it on your screen and don't go too fast. you're welcome!"
give me this week's high temperature what city would you like to know the temperature of? redwood city it will reach 100f on both wednesday and redwood_city_friday in redwood city. thanks.,i'm here for you!
what is the current temperature for what city would you like to know the temperature?  manhattan the forecast for manhattan shows today's low is 60f and the high is 70f. thank you car.,no problem!
please give me an alternate route home there isn't any traffic on the route home to home_address ok thanks,goodbye.
what's the weekly forecast for cleveland during the next week the weather in cleveland will be mostly cloudy and raining. is there any frost predicted?,"no, there isn't any frost prediction"
take me to a chinese restaurant,"there is a chef chu's Chef_Chu's_distance away and jing jing 6 miles away, which do you prefer?"
"navigate to nearest chinese food place the nearest chinese restaurant is jing jing, Jing_Jing_distance away with no traffic. setting directions now.  pick the fastest route please! setting navigation to 113 arbol dr. there is currently Jing_Jing_traffic_info on the route.  thank you.",you're welcome. drive carefully; and enjoy.
please give me the address and quickest route details for a parking garage nearby.,dish parking is Dish_Parking_distance away at 550 alester ave. there is moderate traffic. would you like directions there?
"is there a hospital within 5 miles? i have info only about the stanford express care hospital, but it's Stanford_Express_Care_distance away pick a route to avoid all heavy traffic and send it to my map, please",the route to stanford express care is reporting Stanford_Express_Care_traffic_info to 214 el camino real. gps set.
schedule a swimming activity at 11am today with my father.,"okay, scheduling a swimming activity with your father for today at 11am."
"where's the nearest parking garage the nearest parking garage is civic center garage.	 please send me its address on the screen and pick a quick route to reach there, thank you! civic center garage is located at Civic_Center_Garage_address. setting your gps for the quickest route now. thank you for all your help.",glad i could assist.
"is there any rain in the local forecast what city do you want the rain forecast for? for compton, will it rain on compton_wednesday?",it should not rain in compton on compton_wednesday.
what is the weather like today and tomorrow what city would you like the weather for? will it rain in mountain view?,"rain is not predicted today, but tomorrow rain is predicted to fall in mountain view"
give me directions to the nearest place where i can have a cup of tea,palo alto cafe is 1 mile away at Palo_Alto_Cafe_address
tomorrow's forecast what city do you want the weather for? fresno,it will be foggy and between 40-60f in fresno tomorrow.
i'm desiring to eat at some chinese restaurant: is there any in the area?,there are mandarin roots Mandarin_Roots_distance away and jing jing 6 miles away: which one would you like to try?
"please give me the address and directions via a route that avoids all heavy traffic to a hospital around here.  stanford childrens health is the only hospital that i can find. it is located at 899 ames ct Stanford_Childrens_Health_distance away okay, send me a route there that avoids all heavy traffic the current route does not have any traffic great thank you",your welcome.
how hot is it going to be this week which location did you want temperature information for? durham please,the high for this week is 80f in durham
"how long to the nearest grocery store we're heading at trader joes, 408 university ave, it's Trader_Joes_distance away please pick the quickest route and let's go there, thanks!",follow the directions on your screen and enjoy the trip!
"find me the quickest route to the gas station.  there is a chevron Chevron_distance away. is chevron the closest? if so send me the address. chevron is the closest at Chevron_address. then pick a quick route and let's go there, thank you!",taking you to chevron.
will it be raining in the next 7 days for what location do you need information about any potential upcoming rain? durham it's not gonna rain in durham next week thank you,you're welcome!
"car i need the address of a parking garage near me, please help me! webster garage is Webster_Garage_distance away. is that the closest one to me? if so send me the address. yes, it's the closest one, i sent its position on your screen what is the address?",webster garage is located at Webster_Garage_address.
what time is my lab appointment and who is attending?,"you have three, one on the 7th at 7pm with brother, one on the 16th at 7pm with marie, and one on lab_appointment_date at 10 am with marie."
can you find me a coffee place near me? coupa is Coupa_distance away. is there any traffic on the way there? the route to coupa does not have any traffic can you pull up the route and put it on the screen. coupa is Coupa_distance away at 394 van ness ave. the screen has been set to display the address.  thank you car!,you're welcome; drive safely.
can you find me a coffee place near me? coupa is Coupa_distance away. is there any traffic on the way there?,the route to coupa does not have any traffic
car i'm desiring to have pizza: is there any restaurant within 2 miles?,i have a pizza restaurant located 1 mile away.
"find out if it's supposed to rain what city are you located in that you would like the rain forecast for? i am in inglewood, find out if there is going to be rain tomorrow car. rain is not predicted to fall in ingelwood tomorrow, although hail is. thank you car!",anytime human!
where can i get coffee? we're 2 miles away from coupe and Starbucks_distance away from starbucks: do you have any preference? the one with less traffic/ that is starbucks. what is the address? starbucks is at Starbucks_address. do you want me to set the gps? yes please. thanks.,"okay, i will set the gps."
"search for nearest fast food restaurants there is two restaurants near you; one serves pizza and the other chinese, which do you prefer? the pizza place, give me the quickest one that is nearby. then let's go at round table, 113 anton ct ,it's just Round_Table_distance away but there is heavy traffic, i hope you're not too hungry please give me directions to the pizza place please. thank you.",navigating to Round_Table_address now.
schedule dinner at 3pm next week with sister what date next week would you like the dinner to be scheduled? friday.,ok i've scheduled the dinner for friday.
"where does my friend live? i have a listings for toms house. is that the friend you speak of? yes, thank you, please pick the shortest distance to reach him! i sent the info on your screen, drive carefully! thank you car!",you're welcome!
give me directions to the nearest grocery store,"the nearest grocery store is trader joes, would you like directions?"
will it be raining in the next 7 days what city do you want the weather for? san francisco. it will be raining tuesday and san_francisco_sunday in san francisco. thanks!,no problem.
